,Name,Gender,first_name,last_name,world_gender,world_percent,jurisdiction_1,jurisdiction_1_gender,jurisdiction_1_percent
129,"mina dimchira d sangma",Female,mina,"dimchira d sangma",f,98,India,f,100
130,"icynora nongkhlaw",Female,icynora,nongkhlaw,f,100,India,f,100
131,"ridien syiem",Female,ridien,syiem,m,82,"DR Congo",m,100
132,"silginchi ch marak",Female,silginchi,"ch marak",f,100,India,f,99
133,"kilart marak",Male,kilart,marak,m,100,India,m,100
134,"bringstarland mairom",Male,bringstarland,mairom,m,100,India,m,100
135,"gringrang a sangma",Male,gringrang,"a sangma",m,100,India,m,100
136,"iarbi talang",Male,iarbi,talang,f,100,India,f,100
137,"fathers : nelson tyntral",Male,fathers,": nelson tyntral",m,60,Ethiopia,m,75
138,"arlan mawlong",Male,arlan,mawlong,m,99,Philippines,m,99
139,"m.serafia m.c indwar",Female,m.serafia,"m.c indwar",m,80,Indonesia,m,99
140,"kmenlang sariang",Female,kmenlang,sariang,m,53,India,m,53
141,"alpina m marak",Female,alpina,"m marak",f,97,India,f,100
142,"hamran wann",Male,hamran,wann,m,88,Malaysia,m,100
143,"larilin majaw",Female,larilin,majaw,f,100,India,f,100
144,"nangkyrshan kharmalki",Male,nangkyrshan,kharmalki,,,,,
145,"amfull lymba",Male,amfull,lymba,m,100,India,m,100
146,"brik shadap-",Male,brik,shadap-,m,90,India,m,97
147,"kralling wahlang",Male,kralling,wahlang,m,100,India,m,100
148,"rikminchi r marak",Female,rikminchi,"r marak",f,100,India,f,100
149,"plin makri",Female,plin,makri,f,63,India,f,69
150,"riwanki rymbai",Male,riwanki,rymbai,f,83,India,f,84
151,"aisohlang nongspung",Female,aisohlang,nongspung,,,,,
152,"sempu sangma",Male,sempu,sangma,f,81,India,f,82
153,"roshni kumari thapa",Female,roshni,"kumari thapa",f,100,India,f,100
154,"bijitra marak",Female,bijitra,marak,f,75,India,f,75
155,"wimdar thongni",Male,wimdar,thongni,m,100,India,m,100
156,"other's  : hanli mukhim",Male,other's," : hanli mukhim",,,,,
157,wanthehjingtngen,Female,wanthehjingtngen,,f,100,India,f,100
158,"toribha nongneng",Female,toribha,nongneng,f,100,India,f,100
159,"willtar sohtun",Male,willtar,sohtun,,,,,
160,"donalroy nongsiej",Male,donalroy,nongsiej,m,100,India,m,100
161,"iarmi rabon",Male,iarmi,rabon,m,50,India,m,50
162,"munin barman",Male,munin,barman,m,86,India,m,92
163,"winning lyngdoh rngaid.",Male,winning,"lyngdoh rngaid.",f,60,Nigeria,f,84
164,"pholmoti h. marak",Female,pholmoti,"h. marak",f,100,India,f,100
165,"rattonsing sangma",Male,rattonsing,sangma,m,100,India,m,100
166,"patmi a sangma",Female,patmi,"a sangma",f,100,India,f,100
167,"pyntngen pohswet",Female,pyntngen,pohswet,f,59,India,f,59
168,"partha bhowal",Male,partha,bhowal,m,100,India,m,100
169,"senjila ch marak",Female,senjila,"ch marak",f,100,India,f,100
170,"mitilda lamurong",Female,mitilda,lamurong,f,100,India,f,100
171,"amthilda rani",Female,amthilda,rani,f,100,India,f,100
172,"kreny m. sangma",Female,kreny,"m. sangma",f,60,India,f,100
173,"kwinlan muktieh",Female,kwinlan,muktieh,f,100,India,f,100
174,"leaderson wanniang",Male,leaderson,wanniang,m,100,India,m,100
175,"ioanis kahit",Male,ioanis,kahit,m,100,India,m,100
176,"wanbudmiki sungoh",Male,wanbudmiki,sungoh,m,100,India,m,100
177,"balsrang ch. momin",Male,balsrang,"ch. momin",m,100,India,m,100
178,"jamen k sangma",Male,jamen,"k sangma",m,84,Pakistan,m,85
179,"bankerlang pyrngai",Male,bankerlang,pyrngai,m,100,India,m,100
180,"other's  : mingdon momin",Female,other's," : mingdon momin",,,,,
181,"riiakini suchiang",Female,riiakini,suchiang,,,,,
182,"bainy phawa",Female,bainy,phawa,m,50,India,f,62
183,"luckcilla m marak",Female,luckcilla,"m marak",f,100,India,f,100
184,khakiye,Male,khakiye,,m,100,India,m,100
185,hiareilungbe,Male,hiareilungbe,,m,100,India,m,100
186,thinosinuo,Female,thinosinuo,,,,,,
187,"medoneilie kruse",Male,medoneilie,kruse,m,100,India,m,100
188,khupra,Male,khupra,,f,67,India,f,67
189,izevi,Male,izevi,,m,100,India,m,100
190,sangzui,Male,sangzui,,m,100,India,m,100
191,tsapikiu,Male,tsapikiu,,m,100,India,m,100
192,"kesihhang jemu",Male,kesihhang,jemu,m,100,India,m,100
193,dozolu,Female,dozolu,,f,100,India,f,100
194,"k vipeni futhena",Female,k,"vipeni futhena",m,53,India,f,58
195,"yeshika kiho",Male,yeshika,kiho,m,52,India,m,89
196,ningmo,Female,ningmo,,f,89,India,f,90
197,shonka,Male,shonka,,m,60,India,m,68
198,"mariawilu newmai",Female,mariawilu,newmai,f,100,India,f,100
199,l-chubanungla,Female,l-chubanungla,,,,,,
200,behin,Male,behin,,f,84,Turkey,f,96
201,chuhke!,Male,chuhke!,,,,,,
202,"pungosulu yhobu",Female,pungosulu,yhobu,f,100,India,f,100
203,"naolam konyak",Female,naolam,konyak,m,50,India,m,50
204,"beinuo ezung",Female,beinuo,ezung,f,98,India,f,100
205,"suluvey] rhakho",Male,suluvey],rhakho,,,,,
206,kilangmerenla,Female,kilangmerenla,,f,100,India,f,100
207,"y minching",Female,y,minching,f,76,Vietnam,f,80
208,bilitoshu,Female,bilitoshu,,f,100,India,f,100
209,tangsei,Male,tangsei,,m,100,India,m,100
210,neisasuu,Female,neisasuu,,f,100,India,f,100
211,igumhangle,Female,igumhangle,,f,100,India,f,100
212,senala,Female,senala,,f,71,India,f,75
